类型	组内序号	文本标题	文本内容
type	id	title	content
Int	Int2	String	String
1	1	1.問：換了新設備後，怎樣才能繼續遊戲？	答：您下載好並進入到遊戲後，在登入介面輸入您的帳號和密碼來登入進入遊戲。請使用相同系統的設備。
1	2	2.問：忘記了遊戲登入帳號是否能夠找回？	答：遊戲登入帳號是無法找回的，請務必牢記您的遊戲登入帳號。
1	3	3.問：帳號被盜，密碼被別人更改了怎麼辦？	答：當您的帳號登入密碼被更改時，請登入帳號安全中心更改。
1	4	4.問：出現網路超時，無法登入遊戲怎麼辦？	答：如果您出現網路超時無法登入時，請繼續嘗試鏈接；如若還是網路超時，請檢查您的網路，或者及時與我們聯系。
1	5	5.問：當登入遊戲發現數據丟失了該怎麼辦？	答：如果遇到數據丟失的情況，首先請確認您所登入的伺服器是否正確，因為各個伺服器之間數據不互通，如果伺服器正確依然存在該問題，請及時與我們聯系，聯系時請盡量提供遊戲ID，登入帳號等信息，我們將盡最大的努力幫助您。
1	6	6.問：當遊戲出現閃退怎麼辦？	答：當您遇到遊戲閃退時，請先關閉設備後臺的所有進程後再嘗試重新進入遊戲，如果還是出現閃退，請嘗試重啟設備再次嘗試或者向客服人員提供您的設備型號反映閃退問題。
1	7	7.問：當發現作弊的玩家該怎麼辦？	答：我們致力於為玩家們提供一個公平的遊戲環境，禁止任何玩家利用遊戲中的bug破壞遊戲的平衡。當您發現有玩家作弊時，請務必及時給我們反饋，我們將對作弊玩家予以嚴肅的處理。
2	1	1.問：當遇到有玩家在聊天頻道發送廣告或詐騙信息時該怎麼辦？	答：您可以通過聯系客服進行反饋。並截圖該玩家的ID和一些證據向客服進行舉報。
3	1	1.問：如何成為VIP玩家？	答：當您購買金鑽達到一定數量後，即可成為VIP玩家，購買的金鑽越多，則VIP等級越高，享受的特權也越多。另外在遊戲內還可以通過完成每日任務提升您的VIP等級。
3	2	2.問：首次儲值有什麼獎勵？	答：首次儲值可獲得折扣巨大的首儲禮包，獲得巨大的能力提升！
3	3	3.問：當遇到儲值時已經付款，但道具沒有到賬問題時，該如何處理？	答：當您發現付款成功但未收到道具時，請先嘗試重啟遊戲。若嘗試無果，及時與我們聯系。
3	4	4.問：為什麼儲值成功後，扣除的金額會出現變動？	答：儲值扣除的金額是遊戲平臺根據當前您所在國家貨幣的匯率兌換收取的，所以會因為匯率的波動而變動。
