邮件ID	邮件存在天数（0-永久，非0-指定天数），均为领取后消失	发件人	邮件名称	邮件内容
id	time	addresser	name	text
Int	Int	String	String	String
4	7	競技場管理員	每日排名獎勵	您在競技場的精彩表現有目共睹。截至今日21:00，您在{1}競技場排名為{2}名，授予您以下獎勵。
12	7	王者之戰管理員	積分賽獎勵	您在王者之戰積分賽中排名為{1}名，授予您以下獎勵。
13	7	王者之戰管理員	決賽獎勵	您在王者之戰決賽中排名{1}名，授予您以下獎勵。
15	7	王城管理員	爵位獎勵	您在王城爭霸中榮獲{1}，授予您以下獎勵。
19	7	軍團管理員	踢出軍團提醒	您已被踢出{1}軍團。
20	7	軍團管理員	軍團篝火	今日軍團篝火活動已結束，以下為您所獲取的獎勵。
22	7	軍團長	軍團長的來信	歡迎加入{1}級軍團{2}，讓我們一起建設出最強軍團吧！
26	7	軍團管理員	領地礦藏產出	感謝您在強大的敵人面前悍不畏死，這是今日軍團領地礦藏產出。
29	7	軍團管理員	領地BOSS歸屬獎勵	您的軍團搶到了領地BOSS歸屬權，這是您的獎勵。
30	7	軍團管理員	領地BOSS排名獎勵	您展現了強大的戰力，這是您的領地BOSS傷害排名獎勵。
32	7	軍團管理員	軍團戰勝利通知	本輪軍團戰結束，您的軍團在戰鬥中大獲全勝，這是您的獎勵。
33	7	軍團管理員	軍團戰戰敗通知	本輪軍團戰結束，很遺憾您的軍團並未戰勝對手，這是您的獎勵。
34	7	軍團管理員	軍團戰修築獎勵	本輪軍團戰備戰已結束，感謝您對軍團作出的貢獻，這是您遺忘的修築獎勵。
40	7	村莊管理員	村莊地塊獎勵	您的地塊 {1} 佔領時間已到，獲得以下獎勵。
41	7	村莊管理員	村莊地塊失守	您的地塊 {1} 被 {2} 搶占，累計佔領時長 {3} ，獲得以下獎勵。
42	7	村莊管理員	村莊領主獎勵	偉大的領主，今日村莊 {1}  中的資源已經枯竭，這是您的收獲。
43	7	村莊管理員	村莊領主獎勵	偉大的領主，這是您昨日在村莊  {1} 中的收獲。
44	7	村莊管理員	村莊領主獎勵	偉大的領主，您在 {1} 時 {2} 分主動撤離了村莊 {3} ，這是您的收獲。
45	7	村莊管理員	村莊失守	偉大的領主，您在 {1} 時 {2} 分失去了村莊 {3} 的控制權，這是您的收獲。
46	7	戰隊管理員	戰隊解散	遺憾的通知您，戰隊隊長 {1} 解散了原 {2} 戰隊。
47	7	戰隊管理員	戰隊解散	遺憾的通知您，由於戰隊全員離線超過 {1}天，{2}戰隊已自動解散 。
51	7	軍團管理員	軍團BOSS參與獎	很高興您能與大家一起共同擊殺BOSS，這是您的獎勵。
52	7	軍團管理員	軍團BOSS首殺獎	經過軍團成員的共同努力，首次推到了{1}級軍團BOSS，這是您的獎勵。
53	7	軍團管理員	軍團BOSS排名獎	您的軍團在今日軍團BOSS挑戰中全服排名第{1}名，這是您的獎勵。
1006	7	活動管理員	開服等級排行榜	恭喜領主在開服等級排行榜活動中，排名第{1}，獲得以下獎勵。
1007	7	活動管理員	5日強者榜通知	恭喜您在5日強者排行榜活動中，排名第{1}，獲得以下獎勵。
1008	7	活動管理員	10日王者榜通知	恭喜您在10日王者排行榜活動中，排名第{1}，獲得以下獎勵。
1009	7	活動管理員	15日至尊榜通知	恭喜您在15日至尊排行榜活動中，排名第{1}，獲得以下獎勵。
1010	7	先知	先知的來信	唔，年輕的冒險者，歡迎來到這個世界！仿佛你就是預言中征服大陸的那個人。請接受我的祝福。
1012	30	系統管理員	刪檔測試儲值返還福利	您在刪檔計費測試期間，累計儲值{1}元，感謝您對遊戲的大力支持，這是您的返還福利。
1013	7	系統管理員	特權卡補償	您的特權卡累計天數過高導致您無法續充，這是您的補償。
1014	7	活動管理員	儲值排行通知	恭喜您儲值排行榜活動中，排名第{1}，獲得以下獎勵。
1015	7	活動管理員	消費排行通知	恭喜您消費排行榜活動中，排名第{1}，獲得以下獎勵。
1016	360	系統管理員	第三方儲值	你已經成功儲值。請繼續享受和體驗遊戲。 
